id,isv,translations,helperWords,match,?min,?avg,?max,Rmin,Rmax,comments
70,Avstralija,Австралія,,,,,,,,
5756,avstralijsky,австралійський,,,,,,,,
75,Avstrija,Австрія,,,,,,,,
35339,Avstrijec,австрієць,,,,,,,,
35338,avstrijsky,австрійський,,,,,,,,
22810,avtenti?ny,автентичний,,,,,,,,
2888,avto,"автомобіль, автівка",,,,,,,,
24363,avtobiografi?ny,автобіографічний,,,,,,,,
24365,avtobiografija,автобіографія,,,,,,,,
14449,avtobomba,автомобіль-бомба,,,,,,,,
82,avtobus,автобус,,,,,,,,
35255,avtobusna linija,автобусний маршрут,,,,,,,,
35254,avtobusna postojka,автобусна зупинка,,,,,,,,
24370,avtograf,автограф,,,,,,,,
24371,avtohton,автохтон,,,,,,,,
24374,avtokracija,самодержавство,,,,,,,,
24375,avtokrat,самодержець,,,,,,,,
83,avtomagistralj,"шосе, автострада, автобан",,,,,,,,
4358,avtomat,автомат,,,,,,,,
24377,avtomat,автоматична гвинтівка,,,,,,,,
4360,avtomati?no,автоматично,,,,,,,,
4359,avtomati?ny,автоматичний,,,,,,,,
24383,avtomatika,автоматика,,,,,,,,
24384,avtomatizacija,автоматизація,,,,,,,,
24385,avtomatizm,автоматизм,,,,,,,,
24386,avtomatizovati,автоматизувати,,,,,,,,
23496,avtomobil,"автомобіль, автівка",,,,,,,,
14451,avtomobi?ny,автомобільний,,,,,,,,
17129,avtonomija,автономія,,,,,,,,
17130,avtonomny,автономний,,,,,,,,
6449,avtopromysl,автомобільна промисловість,,,,,,,,
87,avtor,автор,,,,,,,,
24393,avtoritarny,авторитарний,,,,,,,,
10869,avtoritativno,авторитетно,,,,,,,,
10871,avtoritativny,авторитетний,,,,,,,,
15772,avtoritet,авторитет,,,,,,,,
15774,avtoritetno,авторитетно,,,,,,,,
15775,avtoritetnos?,"авторитет, авторитетність",,,,,,,,
15776,avtoritetny,авторитетний,,,,,,,,
15773,avtoritety,органи влади,,,,,,,,
5034,avtorizacija,"авторизація, уповноваження",,,,,,,,
5033,avtorizovati,авторизувати,,,,,,,,
35314,avtorka,авторка,,,,,,,,
35237,avtorsko pravo,авторське право,,,,,,,,
24398,avtorsky,авторський,,,,,,,,
17131,avtorstvo,авторство,,,,,,,,
35868,avtostop,автостоп,,,,,,,,
35870,avtostopnik,автостопник,,,,,,,,
35869,avtostopovati,подорожувати автостопом,,,,,,,,
24399,avtostrada,"автострада, шосе",,,,,,,,
6451,avtostrahovka,автострахування,,,,,,,,
6452,avtozavod,автомобільний завод,,,,,,,,
24400,avto?ir,автожир,,,,,,,,
24401,azalija,азалія,,,,,,,,
36744,azbest,азбест,,,,,,,,
16924,azbuka,"алфавіт, абетка (зазвичай кирилиця)",,,,,,,,
76,Azerbajd?an,Азербайджан,,,,,,,,
92,Azija,Азія,,,,,,,,
542,azijatsky,азійський,,,,,,,,
24407,azimut,азимут,,,,,,,,
22600,azot,азот,,,,,,,,
24409,azotisty,азотистий,,,,,,,,
24410,azotny,азотний,,,,,,,,
17135,Azovsko morje,Азовське море,,,,,,,,
36440,azte?sky,ацтекскій,,,,,,,,
36439,Aztek,ацтек,,,,,,,,
24411,azurny,лазурний,,,,,,,,
3591,a?,навіть,,,,,,,,
2435,baba,"баба, бабуся",,,,,,,,
6460,babica,"бабуся, бабця",,,,,,,,
24425,babin,"бабин, бабусин",,,,,,,,
24429,babka,"бабка, стара жінка",,,,,,,,
24430,babsky,жіночий,,,,,,,,
6459,babu?ka,бабуся,,,,,,,,
35187,bacil,бацила,,,,,,,,
32766,badminton,бадмінтон,,,,,,,,
5070,bagatela,"дріб'язок, дрібниця",,,,,,,,
1579,bagatelizovati,"применшувати, недооцінювати",,,,,,,,
2438,baga?,багаж,,,,,,,,
384,bagno,"багно, болото",,,,,,,,
22453,bahamsky,багамський,,,,,,,,
22452,Bahamy,Багамські острови,,,,,,,,
24437,bajati,"базікати, розповідати байки",,,,,,,,
34833,bajati,"чаклувати, займатися магією",,,,,,,,
6465,bajka,"байка, казка",,,,,,,,
36392,bajonet,багнет,,,,,,,,
6466,bajt,байт,,,,,,,,
24443,bak,"бак, резервуар",,,,,,,,
24444,bak,бак (частина судна),,,,,,,,
24445,bakalavr,бакалавр (ступінь),,,,,,,,
24448,baken,бакен,,,,,,,,
35440,bakenbardy,бакенбарди,,,,,,,,
24453,bakla?an,баклажан,,,,,,,,
23505,bakterija,бактерія,,,,,,,,
24458,bakteriologija,бактеріологія,,,,,,,,
24459,bal,бал (танцювальний вечір),,,,,,,,
31963,bala,"тюк, згорток",,,,,,,,
24461,balada,балада,,,,,,,,
24464,balalajka,балалайка,,,,,,,,
2440,balans,баланс,,,,,,,,
24467,balansir,балансир,,,,,,,,
24468,balansovati,балансувати,,,,,,,,
24469,balast,баласт,,,,,,,,
24470,baldahin,балдахін,,,,,,,,
24471,balerina,балерина,,,,,,,,
6102,balet,балет,,,,,,,,
24474,balisti?ny,балістичний,,,,,,,,
24476,balistika,балістика,,,,,,,,
35340,balkansky,балканський,,,,,,,,
16824,Balkany,Балкани,,,,,,,,
153,balkon,балкон,,,,,,,,
24482,balon,повітряна куля,,,,,,,,
24483,balotovati,голосувати,,,,,,,,
23506,Balti?sko morje,Балтійське Море,,,,,,,,
4737,balti?sky,балтійський,,,,,,,,
24484,balustrada,балюстрада,,,,,,,,
31785,balvan,"брила, валун",,,,,,,,
31786,balvan,"ідіот, дурень",,,,,,,,
24487,balzam,бальзам,,,,,,,,
24489,balzamovati,бальзамувати,,,,,,,,
24490,bambus,бамбук,,,,,,,,
31717,bana?ny,банальний,,,,,,,,
24492,banan,банан,,,,,,,,
2439,banda,банда,,,,,,,,
24494,banda?,бандаж,,,,,,,,
493,bandit,"бойовик, бандит",,,,,,,,
24499,banditizm,бандитизм,,,,,,,,
24500,bandura,бандура,,,,,,,,
24502,band?o,банджо,,,,,,,,
21847,baner,банер,,,,,,,,
24503,banja,"баня, лазня",,,,,,,,
4668,bank,банк,,,,,,,,
24506,banka,банк,,,,,,,,
33326,banka,банка,,,,,,,,
24507,banket,банкет,,,,,,,,
24508,bankir,банкір,,,,,,,,
16925,banknota,банкнота,,,,,,,,
36391,bankrot,банкрут,,,,,,,,
24510,bankrotstvo,банкрутство,,,,,,,,
23757,baobab,баобаб,,,,,,,,
24513,baptist,баптист,,,,,,,,
24514,baptizm,баптизм,,,,,,,,
24515,bar,бар,,,,,,,,
24516,baraban,барабан,,,,,,,,
