id,isv,translations,helperWords,match,Δmin,Δavg,Δmax,Rmin,Rmax,comments
35592,adopcija,adopcja,,,,,,,,
19628,adoptovati,adoptować,,,,,,,,
24086,adrenalin,adrenalina,,,,,,,,
17109,adres,adres,,,,,,,,
248,adresa,adres,,,,,,,,
24089,adresat,adresat,,,,,,,,
4540,adresovati,adresować,,,,,,,,
36739,Adriatičsko morje,Morze Adriatyckie,,,,,,,,
24093,adventist,adwentysta,,,,,,,,
97,advokat,adwokat,,,,,,,,
24096,advokatura,adwokatura,,,,,,,,
36566,Adžarija,Adżaria,,,,,,,,
36348,aerodinamičny,aerodynamiczny,,,,,,,,
36349,aerodinamika,aerodynamika,,,,,,,,
33084,aerodrom,lotnisko,,,,,,,,
3423,aeronaùtičny,"aeronautyczny, lotniczy",,,,,,,,
3424,aeronaùtika,"aeronautyka, lotnictwo",,,,,,,,
6129,aeroplan,samolot,,,,,,,,
99,aeroport,lotnisko,,,,,,,,
19629,afazija,afazja,,,,,,,,
19630,afektivny,"czuły, afektywny",,,,,,,,
35513,afera,"afera, romans",,,,,,,,
5754,Afganistan,Afganistan,,,,,,,,
5755,afgansky,afgański,,,,,,,,
36756,aforizm,aforyzm,,,,,,,,
4743,Afrika,Afryka,,,,,,,,
36719,Afrikanėc,Afrykanin,,,,,,,,
36720,Afrikanka,Afrykanka,,,,,,,,
106,afrikansky,afrykański,,,,,,,,
32850,afrikansky mråvojěd,mrównik afrykański,,,,,,,,
24102,Afroamerikanèc,Afroamerykanin,,,,,,,,
24105,Afroamerikanèc,agawa,,,,,,,,
36283,afrodiziak,afrodyzjak,,,,,,,,
113,agencija,agencja,,,,,,,,
24107,agent,agent,,,,,,,,
24110,agentura,agentura,,,,,,,,
24111,agitacija,agitacja,,,,,,,,
24112,agitator,agitator,,,,,,,,
24113,agitka,agitka,,,,,,,,
24114,agitovati,agitować,,,,,,,,
35785,aglomeracija,aglomeracja,,,,,,,,
19631,aglutinacija,aglutynacja,,,,,,,,
24116,aglutinativny,aglutynacyjny,,,,,,,,
24118,agnosticizm,agnostycyzm,,,,,,,,
24119,agnostik,agnostyk,,,,,,,,
24120,agonija,agonia,,,,,,,,
24121,agonizovati,zamęczać,,,,,,,,
24124,agrarny,rolniczy,,,,,,,,
24125,agregat,agregat,,,,,,,,
24127,agresija,agresja,,,,,,,,
24128,agresivny,agresywny,,,,,,,,
24129,agresor,agresor,,,,,,,,
24130,agrikultura,rolnictwo,,,,,,,,
24131,agronom,agronom,,,,,,,,
24132,agronomičny,agronomiczny,,,,,,,,
24133,agronomija,agronomia,,,,,,,,
24134,ah,ach,,,,,,,,
24135,aha,acha,,,,,,,,
4886,ahoj,cześć,,,,,,,,
24136,aj,"ała!, aj!",,,,,,,,
24137,ajsberg,góra lodowa,,,,,,,,
24138,akacija,akacja,,,,,,,,
16262,akademičsky,akademiczny,,,,,,,,
4639,akademija,akademia,,,,,,,,
24141,akademik,akademik,,,,,,,,
34994,akanıje,akanie,,,,,,,,
6130,akcent,"akcent, nacisk",,,,,,,,
24148,akcentovati,"akcentować, zaznaczać",,,,,,,,
24149,akcentuacija,akcentowanie,,,,,,,,
4951,akceptacija,akceptacja,,,,,,,,
111,akceptovati,akceptować,,,,,,,,
115,akcija,"udział, akcja (papier wartościowy)",,,,,,,,
2849,akcija,"akcja, działanie",,,,,,,,
24152,akcioner,akcjonariusz,,,,,,,,
24153,akcionerny kapital,kapitał akcyjny,,,,,,,,
24154,akciz,akcyza,,,,,,,,
24155,aklimatizacija,aklimatyzacja,,,,,,,,
24156,aklimatizovati,aklimatyzować,,,,,,,,
6387,akne,"trądzik, pryszcz",,,,,,,,
17076,ako,"jeśli, jeżeli",,,,,,,,
17110,ako,jako,,,,,,,,
17112,ako by,jakby,,,,,,,,
17113,ako by,jeżeliby,,,,,,,,
17114,ako by,jeśliby,,,,,,,,
6133,ako li,jeśli,,,,,,,,
23672,ako ne,"jeżeli nie, chyba że",,,,,,,,
32593,akolada,akolada,,,,,,,,
36472,akolada,"akolada (ceremonia), pasowanie na rycerza",,,,,,,,
24161,akomodacija,akomodacja,,,,,,,,
24162,akomodovati,rozkwaterowywać,,,,,,,,
24163,akompanement,akompaniament,,,,,,,,
24164,akompaniator,akompaniator,,,,,,,,
24165,akompanovati,akompaniować,,,,,,,,
24167,akord,akord,,,,,,,,
24168,akordeon,akordeon,,,,,,,,
24169,akr,akr,,,,,,,,
24173,akrobat,akrobata,,,,,,,,
34769,akrobatika,akrobatyka,,,,,,,,
24174,akrobatka,akrobatka,,,,,,,,
24175,akrobatsky,akrobatyczny,,,,,,,,
33563,aksamit,aksamit,,,,,,,,
33564,aksamitny,aksamitny,,,,,,,,
32543,aksiaľny,osiowy,,,,,,,,
24180,aksioma,"aksjomat, pewnik",,,,,,,,
119,akt,"akt (czynność), akt notarialny",,,,,,,,
2307,aktivist,działacz,,,,,,,,
24189,aktivistka,działaczka,,,,,,,,
35786,aktivitet,aktywność,,,,,,,,
24190,aktivizovati,"uruchomić, aktywować",,,,,,,,
16921,aktivno,aktywnie,,,,,,,,
5142,aktivnosť,aktywność,,,,,,,,
43,aktivny,aktywny,,,,,,,,
6134,aktor,aktor,,,,,,,,
24194,aktorka,aktorka,,,,,,,,
36683,aktorsky,aktorski,,,,,,,,
24197,aktrisa,aktorka,,,,,,,,
34899,aktualizacija,aktualizacja,,,,,,,,
34900,aktualizovati,aktualizować,,,,,,,,
17117,aktuaľnosť,aktualność,,,,,,,,
5125,aktuaľny,"aktualny, obecny",,,,,,,,
20330,akula,rekin,,,,,,,,
24201,akumulacija,gromadzenie,,,,,,,,
24202,akumulator,akumulator,,,,,,,,
24203,akumulovati,gromadzić,,,,,,,,
24204,akurat,dokładnie,,,,,,,,
24205,akuratnosť,"dokładność, precyzja",,,,,,,,
24206,akuratny,dokładny,,,,,,,,
24210,akušerka,położna,,,,,,,,
24211,akušersky,położny,,,,,,,,
24212,akušerstvo,położnictwo,,,,,,,,
24213,akušerstvo,akcent ostry,,,,,,,,
24207,akustičny,akustyczny,,,,,,,,
24208,akustika,akustyka,,,,,,,,
16922,akuzativ,biernik,,,,,,,,
24216,akvamarin,akwamaryna,,,,,,,,
24217,akvarelist,akwarelista,,,,,,,,
24218,akvarelj,akwarela,,,,,,,,
24219,akvarium,akwarium,,,,,,,,
24220,akvedukt,akwedukt,,,,,,,,
24223,alabastr,alabaster,,,,,,,,
24224,alarm,alarm,,,,,,,,
133,Albanèc,Albańczyk,,,,,,,,
4732,Albanija,Albania,,,,,,,,
6388,Albanka,Albanka,,,,,,,,
142,albansky,albański,,,,,,,,
23563,albatros,albatros,,,,,,,,
24248,album,album,,,,,,,,
134,ale,ale,,,,,,,,
24229,alegoričny,alegoryczny,,,,,,,,
5856,alegorija,alegoria,,,,,,,,
24231,aleja,aleja,,,,,,,,
36743,alergičny,"alergiczny, uczulony",,,,,,,,
36742,alergija,"alergia, uczulenie",,,,,,,,
45,alfabet,alfabet,,,,,,,,
3968,alfabetičny,alfabetyczny,,,,,,,,
32939,alga,alga,,,,,,,,
23490,algebra,algebra,,,,,,,,
23492,algoritm,algorytm,,,,,,,,
24238,alhimija,alchemia,,,,,,,,
24239,alhimik,alchemik,,,,,,,,
107,alians,"przymierze, sojusz",,,,,,,,
24240,alibi,alibi,,,,,,,,
24241,aligator,aligator,,,,,,,,
24244,alimenty,alimenty,,,,,,,,
24245,aliteracija,aliteracja,,,,,,,,
24267,aljur,"powab, czar",,,,,,,,
4647,alkohol,alkohol,,,,,,,,
4648,alkoholičny,alkoholowy,,,,,,,,
23277,alkoholik,alkoholik,,,,,,,,
24274,alkoholizm,alkoholizm,,,,,,,,
24253,alkov,wnęka,,,,,,,,
24279,allegro,allegro,,,,,,,,
24254,almanah,almanach,,,,,,,,
24281,almaz,diament,,,,,,,,
24282,alo,halo,,,,,,,,
24283,aloe,aloes,,,,,,,,
15759,alpejsky,alpejski,,,,,,,,
5757,alpinist,alpinista,,,,,,,,
24256,alpinizm,alpinizm,,,,,,,,
59,Alpy,Alpy,,,,,,,,
23443,alt,altówka,,,,,,,,
32998,alt,alt,,,,,,,,
35767,"altana, altanka",altanka,,,,,,,,
24259,alternativa,alternatywa,,,,,,,,
17119,alternativny,alternatywny,,,,,,,,
24261,altruist,altruista,,,,,,,,
24262,altruističny,altruistyczny,,,,,,,,
24263,altruizm,altruizm,,,,,,,,
22608,aluminij,aluminium,,,,,,,,
24265,aluminijevy,aluminiowy,,,,,,,,
35536,aluzija,aluzja,,,,,,,,
24269,alveolarny,"dziąsłowy, zębodołowy",,,,,,,,
5919,Alžirija,Algeria,,,,,,,,
35594,amater,amator,,,,,,,,
36059,ambar,stodoła,,,,,,,,
127,ambasada,ambasada,,,,,,,,
24290,ambicija,ambicja,,,,,,,,
32530,ambiciozny,ambitny,,,,,,,,
36759,ambivalentnosť,ambiwalencja,,,,,,,,
36758,ambivalentny,ambiwalentny,,,,,,,,
24291,ambrazura,"luk, iluminator",,,,,,,,
24294,ameba,ameba,,,,,,,,
131,Amerika,Ameryka,,,,,,,,
136,Amerikanèc,Amerykanin,,,,,,,,
6400,Amerikanka,Amerykanka,,,,,,,,
6404,Amerikanska Samoa,Samoa Amerykańskie,,,,,,,,
12580,Amerikanske Děvičıje Ostrovy,Wyspy Dziewicze Stanów Zjednoczonych,,,,,,,,
52,amerikansky,amerykański,,,,,,,,
24296,ametist,ametyst,,,,,,,,
23198,amfetamin,amfetamina,,,,,,,,
23197,amfiteatr,amfiteatr,,,,,,,,
19632,amin,amen,,,,,,,,
24298,amnestija,amnestia,,,,,,,,
24299,amnestovati,amnestionować,,,,,,,,
36331,amnezija,amnezja,,,,,,,,
24301,amonij,amon,,,,,,,,
24302,amonijak,amoniak,,,,,,,,
24304,amoraľny,niemoralny,,,,,,,,
24305,amortizacija,amortyzacja,,,,,,,,
3835,amortizator,amortyzator,,,,,,,,
24307,amortizovati,amortyzować,,,,,,,,
34096,amputacija,amputacja,,,,,,,,
34095,amputovati,amputować,,,,,,,,
36760,amulet,amulet,,,,,,,,
32325,amunicija,amunicja,,,,,,,,
35336,anahroničny,anachroniczny,,,,,,,,
35337,anahronizm,anachronizm,,,,,,,,
24309,analfabet,analfabeta,,,,,,,,
24310,analfabetizm,analfabetyzm,,,,,,,,
14440,analitično,analitycznie,,,,,,,,
4172,analitičny,analityczny,,,,,,,,
904,analitik,analityk,,,,,,,,
4171,analiza,analiza,,,,,,,,
3969,analizovati,analizować,,,,,,,,
16411,anaľny,analny,,,,,,,,
23209,analogičny,analogiczny,,,,,,,,
23208,analogija,analogia,,,,,,,,
32110,anamneza,wywiad lekarski,,,,,,,,
24311,ananas,ananas,,,,,,,,
5057,anarhija,anarchia,,,,,,,,
5058,anarhist,anarchista,,,,,,,,
23491,anarhizm,anarchizm,,,,,,,,
23494,anatomičny,anatomiczny,,,,,,,,
23493,anatomija,anatomia,,,,,,,,
24312,Andora,Andora,,,,,,,,
5718,anekdota,anegdota,,,,,,,,
36190,aneksija,aneksja,,,,,,,,
36191,aneksovati,"aneksować, anektować",,,,,,,,
20331,anemičny,anemiczny,,,,,,,,
20332,anemija,anemia,,,,,,,,
19633,anestezija,znieczulenie,,,,,,,,
36752,anestezija,"anestezja, znieczulenie",,,,,,,,
229,angel,anioł,,,,,,,,
20333,"Angličan, Angličanin",Anglik,,,,,,,,
24314,anglicizm,anglicyzm,,,,,,,,
35052,Anglija,Anglia,,,,,,,,
19634,anglijskojęzyčny,"anglojęzyczny, angielskojęzyczny",,,,,,,,
2850,anglijsky,angielski,,,,,,,,
23464,anglijsky rožèk,rożek angielski,,,,,,,,
19635,anglosaksonsky,anglosaksoński,,,,,,,,
256,Angola,Angola,,,,,,,,
36537,animacija,animacja,,,,,,,,
36700,animovany film,film animowany,,,,,,,,
36798,anis,anyż,,,,,,,,
3797,anketa,"kwestionariusz, ankieta",,,,,,,,
32722,anketa,"sondaż, ankieta",,,,,,,,
35755,anomalija,anomalia,,,,,,,,
3949,anonimny,anonimowy,,,,,,,,
34753,antagonist,antagonista,,,,,,,,
35738,antagonizm,antagonizm,,,,,,,,
4898,Antarktida,Antarktyda,,,,,,,,
32494,antena,antena,,,,,,,,
16368,anti-,anty-,,,,,,,,
36753,antibiotik,antybiotyk,,,,,,,,
16367,antičnosť,"starożytność, antyczność",,,,,,,,
16369,antičny,"starożytny, antyczny",,,,,,,,
17120,antihrist,antychryst,,,,,,,,
35717,antikvariat,antykwariat,,,,,,,,
32493,antilopa,antylopa,,,,,,,,
22629,antimon,antymon,,,,,,,,
35432,antipatija,antypatia,,,,,,,,
22808,antisemitizm,antysemityzm,,,,,,,,
36754,antitělo,przeciwciało,,,,,,,,
35825,antologija,antologia,,,,,,,,
23495,antropologija,antropologia,,,,,,,,
4952,anulacija,anulowanie,,,,,,,,
37,anulovati,"anulować, skasować, unieważnić",,,,,,,,
16250,anus,odbyt,,,,,,,,
19636,aorist,aoryst,,,,,,,,
6263,aparat,"aparatura, aparat",,,,,,,,
39,apelacija,"apel, wezwanie, apelacja",,,,,,,,
15690,apelacijny,apelacyjny,,,,,,,,
15689,apelacijny sųd,sąd apelacyjny,,,,,,,,
15692,apelant,apelant,,,,,,,,
60,apelovati,apelować,,,,,,,,
15764,apendek,wyrostek robaczkowy,,,,,,,,
6422,apendektomija,appendektomia,,,,,,,,
150,apetit,apetyt,,,,,,,,
36574,aplikacija,"aplikacja, apka",,,,,,,,
15240,aplodovanıje,pobieranie (komp.),,,,,,,,
5624,aplodovati,pobierać (komp.),,,,,,,,
36316,apokalipsa,apokalipsa,,,,,,,,
36315,apokaliptičny,apokaliptyczny,,,,,,,,
32728,aposteriorny,aposterioryczny,,,,,,,,
6167,apostol,apostoł,,,,,,,,
32556,apostrof,apostrof,,,,,,,,
4026,aprilj,kwiecień,,,,,,,,
32727,apriorny,aprioryczny,,,,,,,,
35575,Arab,Arab,,,,,,,,
35576,Arabka,Arabka,,,,,,,,
2166,arabsky,arabski,,,,,,,,
36413,aranževati,aranżować,,,,,,,,
36414,aranžman,aranżacja,,,,,,,,
19637,arbiter,"arbiter, sędzia (sport)",,,,,,,,
36761,arbitraž,arbitraż,,,,,,,,
38,arcivojevoda,arcyksiążę,,,,,,,,
5789,arešt,areszt,,,,,,,,
122,areštovati,aresztować,,,,,,,,
22388,Argentina,Argentyna,,,,,,,,
22389,argentinsky,argentyński,,,,,,,,
22614,argon,argon,,,,,,,,
19638,argument,argument,,,,,,,,
19639,argumentacija,argumentacja,,,,,,,,
19640,argumentovati,argumentować,,,,,,,,
4382,arhaičny,"archaiczny, przestarzały",,,,,,,,
4383,arhaizm,archaizm,,,,,,,,
4419,arheolog,archeolog,,,,,,,,
4420,arheologičny,archeologiczny,,,,,,,,
4418,arheologija,archeologia,,,,,,,,
6166,arhiepiskop,arcybiskup,,,,,,,,
36677,arhipelag,arhipelag,,,,,,,,
4893,arhitekt,architekt,,,,,,,,
4894,arhitektura,architektura,,,,,,,,
35659,arhitekturny,architektoniczny,,,,,,,,
35235,arhiv,archiwum,,,,,,,,
35281,arhivny,archiwalny,,,,,,,,
35236,arhivovati,archiwizować,,,,,,,,
5721,aristokracija,"arystokracja, szlachta",,,,,,,,
5720,aristokrat,"arystokrata, szlachcic",,,,,,,,
5722,aristokratičny,"arystokratyczny, szlachecki",,,,,,,,
17124,aristokratka,arystokratka,,,,,,,,
21256,aritmetika,arytmetyka,,,,,,,,
17126,arka,arka,,,,,,,,
5920,arktičny,arktyczny,,,,,,,,
23500,Arktičny okean,Ocean Arktyczny,,,,,,,,
6206,Arktika,Arktyka,,,,,,,,
5059,Armenija,Armenia,,,,,,,,
5060,arměnsky,Armeński,,,,,,,,
123,armija,"wojsko, armia",,,,,,,,
1851,arogancija,arogancja,,,,,,,,
35635,arogantny,arogancki,,,,,,,,
24324,aromat,"aromat, woń",,,,,,,,
22625,arsen,arsen,,,,,,,,
34,arsenal,arsenał,,,,,,,,
35705,artefakt,artefakt,,,,,,,,
15244,arterija,tętnica,,,,,,,,
24325,artikulacija,artykulacja,,,,,,,,
24326,artilerija,artyleria,,,,,,,,
33,artist,artysta,,,,,,,,
15768,artističny,arystyczny,,,,,,,,
31843,as,as (karty),,,,,,,,
24327,asfalt,asfalt,,,,,,,,
24328,asfaltobeton,asfaltobeton,,,,,,,,
36762,asimetričny,asymetryczny,,,,,,,,
16263,asimilacija,asymilacja,,,,,,,,
6246,asimilovati,asymilować,,,,,,,,
35787,asociacija,stowarzyszenie,,,,,,,,
19641,aspekt,aspekt,,,,,,,,
21257,asteroid,asteroida,,,,,,,,
31854,astma,astma,,,,,,,,
22973,astrolog,astrolog,,,,,,,,
16264,astrologičny,astrologiczny,,,,,,,,
4895,astrologija,astrologia,,,,,,,,
24330,astronaùt,astronauta,,,,,,,,
21258,astronom,astronom,,,,,,,,
16265,astronomičny,astronomiczny,,,,,,,,
18,astronomija,astronomia,,,,,,,,
32,ataka,atak,,,,,,,,
3970,atakovati,atakować,,,,,,,,
23503,ateist,ateista,,,,,,,,
23502,ateizm,ateizm,,,,,,,,
16923,atematičny,nierównotematowy (gram.),,,,,,,,
23526,Atiny,Ateny,,,,,,,,
35020,atlantičny,atlantycki,,,,,,,,
23497,Atlantičny okean,Atlantyk,,,,,,,,
35093,atlet,atleta,,,,,,,,
35095,atletičny,atletyczny,,,,,,,,
35094,atletika,atletyka,,,,,,,,
35084,atmosfera,atmosfera,,,,,,,,
4661,atom,atom,,,,,,,,
23321,atomna bomba,bomba atomowa,,,,,,,,
23184,atrakcija,"atrakcja, pociąg (do czegoś)",,,,,,,,
35788,atraktivny,atrakcyjny,,,,,,,,
36065,atut,atut,,,,,,,,
36825,au!,"ała!, au!",,,,,,,,
3053,aùgust,sierpień,,,,,,,,
36757,aura,aura,,,,,,,,
36767,aureola,aureola,,,,,,,,
70,Aùstralija,Australia,,,,,,,,
5756,aùstralijsky,australijski,,,,,,,,
75,Aùstrija,Austria,,,,,,,,
35339,Aùstrijèc,Austriak,,,,,,,,
35338,aùstrijsky,austriacki,,,,,,,,
22810,aùtentičny,autentyczny,,,,,,,,
36748,autist,autysta,,,,,,,,
36749,autističny,autystyczny,,,,,,,,
36747,autizm,autyzm,,,,,,,,
2888,aùto,"samochód, auto",,,,,,,,
24363,aùtobiografičny,autobiograficzny,,,,,,,,
24365,aùtobiografija,autobiografia,,,,,,,,
14449,aùtobomba,samochód-pułapka,,,,,,,,
82,aùtobus,autobus,,,,,,,,
35255,aùtobusna linija,linia autobusowa,,,,,,,,
35254,aùtobusna postojka,przystanek autobusowy,,,,,,,,
24370,aùtograf,autograf,,,,,,,,
24371,aùtohton,"tubylec, autochton",,,,,,,,
24374,aùtokracija,autokracja,,,,,,,,
24375,aùtokrat,"autokrata, samowładca",,,,,,,,
83,aùtomagistralj,autostrada,,,,,,,,
4358,aùtomat,automat,,,,,,,,
24377,aùtomat,karabin maszynowy,,,,,,,,
4360,aùtomatično,automatycznie,,,,,,,,
4359,aùtomatičny,automatyczny,,,,,,,,
24383,aùtomatika,automatyka,,,,,,,,
24384,aùtomatizacija,automatyzacja,,,,,,,,
24385,aùtomatizm,automatyzm,,,,,,,,
24386,aùtomatizovati,automatyzować,,,,,,,,
23496,aùtomobil,"auto, samochód",,,,,,,,
14451,aùtomobiľny,samochodowy,,,,,,,,
17129,aùtonomija,autonomia,,,,,,,,
17130,aùtonomny,autonomiczny,,,,,,,,
6449,aùtopromysl,przemysł samochodowy,,,,,,,,
87,aùtor,autor,,,,,,,,
24393,aùtoritarny,autorytarny,,,,,,,,
10869,aùtoritativno,autorytatywnie,,,,,,,,
10871,aùtoritativny,autorytatywny,,,,,,,,
15772,aùtoritet,autorytet,,,,,,,,
15774,aùtoritetno,"autorytatywnie, miarodajnie",,,,,,,,
15775,aùtoritetnosť,autorytet,,,,,,,,
15776,aùtoritetny,"autorytatywny, miarodajny",,,,,,,,
15773,aùtoritety,władze,,,,,,,,
5034,aùtorizacija,"upoważnienie, zezwolenie",,,,,,,,
5033,aùtorizovati,"upoważniać, zezwalać",,,,,,,,
35314,aùtorka,autorka,,,,,,,,
35237,aùtorsko pravo,prawo autorskie,,,,,,,,
24398,aùtorsky,autorski,,,,,,,,
17131,aùtorstvo,autorstwo,,,,,,,,
35868,aùtostop,autostop,,,,,,,,
35870,aùtostopnik,autostopowicz,,,,,,,,
35869,aùtostopovati,podróżować autostopem,,,,,,,,
24399,aùtostrada,autostrada,,,,,,,,
6451,aùtostrahovka,ubezpieczenie samochodu,,,,,,,,
6452,aùtozavod,fabryka samochodów,,,,,,,,
24400,aùtožir,"wiatrakowiec, autożyro",,,,,,,,
24332,avangarda,awangarda,,,,,,,,
24334,avanpost,placówka,,,,,,,,
24335,avans,awans,,,,,,,,
24337,avansovati,awansować,,,,,,,,
24339,avansovy,"awansowy, zaliczkowy",,,,,,,,
24346,Avar,Awar,,,,,,,,
5766,avarija,"awaria, rozpad",,,,,,,,
24348,avarijny,awaryjny,,,,,,,,
62,aviacija,lotnictwo,,,,,,,,
17133,aviakarta,bilet lotniczy,,,,,,,,
64,avialinija,linia lotnicza,,,,,,,,
24356,aviator,lotnik,,,,,,,,
233,avizo,awizo,,,,,,,,
36074,avokado,awokado,,,,,,,,
3591,až,"aż, nawet",,,,,,,,
24401,azalija,azalia,,,,,,,,
36744,azbest,azbest,,,,,,,,
16924,azbuka,alfabet (zazwyczaj cyrylicki),,,,,,,,
76,Azerbajdžan,Azerbejdżan,,,,,,,,
92,Azija,Azja,,,,,,,,
542,azijatsky,azjatycki,,,,,,,,
24407,azimut,azymut,,,,,,,,
22600,azot,azot,,,,,,,,
24409,azotisty,azotawy,,,,,,,,
24410,azotny,azotowy,,,,,,,,
17135,Azovsko morje,Morze Azowskie,,,,,,,,
36440,aztečsky,aztecki,,,,,,,,
36439,Aztek,Aztek,,,,,,,,
24411,azurny,lazurowy,,,,,,,,
2435,baba,babcia,,,,,,,,
6460,babica,babcia,,,,,,,,
24425,babin,babciny,,,,,,,,
24429,babka,staruszka,,,,,,,,
24430,babsky,"kobiecy, babski",,,,,,,,
6459,babuška,babcia,,,,,,,,
35187,bacil,"pałeczka (bakteria), laseczka (bakteria)",,,,,,,,
32766,badminton,"badminton, kometka",,,,,,,,
5070,bagatela,"drobiazg, drobnostka",,,,,,,,
1579,bagatelizovati,"bagatelizować, nie doceniać",,,,,,,,
2438,bagaž,bagaż,,,,,,,,
384,bagno,bagno,,,,,,,,
22453,bahamsky,bahamski,,,,,,,,
22452,Bahamy,Bahamy,,,,,,,,
24437,bajati,"paplać, bajać",,,,,,,,
34833,bajati,czarować,,,,,,,,
24439,bajdarka,kajak,,,,,,,,
6465,bajka,"baśń, bajka",,,,,,,,
36392,bajonet,bagnet,,,,,,,,
6466,bajt,bajt,,,,,,,,
24443,bak,"zbiornik, bak",,,,,,,,
24444,bak,bak (część statku),,,,,,,,
24445,bakalavr,licencjat,,,,,,,,
24448,baken,#światło nawigacyjne,,,,,,,,
35440,bakenbardy,bokobrody,,,,,,,,
24453,baklažan,"bakłażan, oberżyna",,,,,,,,
23505,bakterija,bakteria,,,,,,,,
24458,bakteriologija,bakteriologia,,,,,,,,
24459,bal,bal,,,,,,,,
31963,bala,bela,,,,,,,,
24461,balada,ballada,,,,,,,,
24464,balalajka,bałałajka,,,,,,,,
2440,balans,równowaga,,,,,,,,
24467,balansir,wyrównywacz,,,,,,,,
24468,balansovati,balansować,,,,,,,,
24469,balast,balast,,,,,,,,
24470,baldahin,baldachim,,,,,,,,
24471,balerina,balerina,,,,,,,,
6102,balet,balet,,,,,,,,
24474,balističny,balistyczny,,,,,,,,
24476,balistika,balistyka,,,,,,,,
35340,balkansky,bałkański,,,,,,,,
16824,Balkany,Bałkany,,,,,,,,
153,balkon,balkon,,,,,,,,
24482,balon,balon,,,,,,,,
24483,balotovati,balotować,,,,,,,,
23506,Baltičsko morje,Bałtyk,,,,,,,,
4737,baltičsky,bałtycki,,,,,,,,
24484,balustrada,balustrada,,,,,,,,
31785,balvan,głaz,,,,,,,,
31786,balvan,"dureń, idiota",,,,,,,,
24487,balzam,balsam,,,,,,,,
24489,balzamovati,balsamować,,,,,,,,
24490,bambus,bambus,,,,,,,,
31717,banaľny,"banalny, oklepany, powszedni",,,,,,,,
24492,banan,banan,,,,,,,,
2439,banda,"banda, gang, szajka",,,,,,,,
24494,bandaž,bandaż,,,,,,,,
493,bandit,bandyta,,,,,,,,
24499,banditizm,bandytyzm,,,,,,,,
24500,bandura,bandura,,,,,,,,
24502,bandžo,banjo,,,,,,,,
24503,banja,łaźnia,,,,,,,,
4668,bank,bank,,,,,,,,
24506,banka,bank,,,,,,,,
33326,banka,"puszka, słoik",,,,,,,,
24507,banket,bankiet,,,,,,,,
24508,bankir,bankier,,,,,,,,
16925,banknota,banknot,,,,,,,,
24510,bankrot,bankructwo,,,,,,,,
36391,bankrot,bankrut,,,,,,,,
23757,baobab,baobab,,,,,,,,
24513,baptist,baptysta,,,,,,,,
